Location,Joined Group on,Last visited group on,Last Attended,Total RSVPs,RSVPed Yes,RSVPed Maybe,RSVPed No,Meetups attended,No shows,Intro,Photo,Assistant Organizer,Mailing List,URL of Member Profile,What do you use R for?,What's your favourite CRAN package?,What's your experience in R?
Singapore,11/25/2013,02/08/2014,12/18/2013,1,1,0,0,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/14666676/ ,"I don't yet use R, but I'd like to learn more about it",None,No experience
Singapore,01/22/2013,01/23/2013,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/77430302/ ,Reports,Not sure,Beginner
Singapore,08/31/2012,10/24/2012,01/23/2013,1,1,0,0,1,0,Yes,No,No,Yes,http://www.meetup.com/R-User-Group-SG/members/60557362/ ,Data Preperation and Data understanding,very new to R,1 month
Singapore,01/26/2012,05/16/2012,,0,0,0,0,0,0,Yes,Yes,No,Digest,http://www.meetup.com/R-User-Group-SG/members/11496164/ ,Big Data Analytics,rook,beginner
Singapore,10/19/2013,05/08/2014,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/74930772/ ,wanted to learn about the open source platform for data analysis in general,NA,Not yet
Singapore,10/26/2012,10/26/2012,01/23/2013,1,1,0,0,1,0,Yes,No,No,Digest,http://www.meetup.com/R-User-Group-SG/members/67516262/ ,Species Delimitation,NA,Not a lot. I was only taught how to run a few commands for Species Delimitation using GMYC modeling.
Singapore,11/18/2013,03/30/2014,12/03/2013,1,1,0,0,1,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/109161532/ ,Ecomentrics,None,A bit
Singapore,01/06/2012,12/11/2013,01/18/2012,1,1,0,0,1,0,Yes,Yes,No,No,http://www.meetup.com/R-User-Group-SG/members/32015512/ ,I havent used it before- but I've used SAS and would like to get some exposure to R as well.,NA :(,None
Singapore,06/18/2012,10/01/2012,10/17/2012,2,2,0,0,2,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/51669902/ ,Analytics,maps,basic
Singapore,04/13/2013,10/20/2013,,0,0,0,0,0,0,Yes,Yes,No,Yes,http://www.meetup.com/R-User-Group-SG/members/89045452/ ,genome biology data,limma,limma package
